id|description|column
"HVR"|"HAVRE, MT"|"i94port"
"HEL"|"HELENA, MT"|"i94port"
"LWT"|"LEWISTON, MT"|"i94port"
"MGM"|"MORGAN, MT"|"i94port"
"OPH"|"OPHEIM, MT"|"i94port"
"PIE"|"PIEGAN, MT"|"i94port"
"RAY"|"RAYMOND, MT"|"i94port"
"ROO"|"ROOSVILLE, MT"|"i94port"
"SCO"|"SCOBEY, MT"|"i94port"
"SWE"|"SWEETGTASS, MT"|"i94port"
"TRL"|"TRIAL CREEK, MT"|"i94port"
"TUR"|"TURNER, MT"|"i94port"
"WCM"|"WILLOW CREEK, MT"|"i94port"
"CLT"|"CHARLOTTE, NC"|"i94port"
